Key Assumptions
Branch: Key Assumptions\Forecast\Outputs\Cumulative Precip\Clear Lake
 
Scenario,Baseline
"Oct 2023",1.04724
"Nov 2023",2.92126
"Dec 2023",9.17717
"Jan 2024",16.6654
"Feb 2024",23.4449
"Mar 2024",29.1654
"Apr 2024",29.937
"May 2024",30.7244
"Jun 2024",30.7244
"Jul 2024",30.7244
"Aug 2024",30.8031
"Sep 2024",30.8031
"Oct 2024",0.220472
"Nov 2024",10.6693
"Dec 2024",18.689
"Jan 2025",22.563
"Feb 2025",27.4724
"Mar 2025",31.5984
"Apr 2025",32.0709
"May 2025",32.2402
"Jun 2025",32.2402
"Jul 2025",32.2402
"Aug 2025",32.2402
"Sep 2025",33.1063
"Oct 2025",1.14567
"Nov 2025",5.37795
"Dec 2025",13.5157
"Jan 2026",16.8661
"Feb 2026",22.311
"Mar 2026",22.3228
"Apr 2026",23.7667
"May 2026",24.8212
"Jun 2026",24.8212
"Jul 2026",24.8212
"Aug 2026",24.8212
"Sep 2026",25.232
Sum,801.311
