Key Assumptions
Branch: Key Assumptions\Forecast\Outputs\Cumulative Precip\Clear Lake
 
Scenario,Baseline
"Oct 2023",1.04737
"Nov 2023",2.9214
"Dec 2023",9.17736
"Jan 2024",16.6656
"Feb 2024",23.4452
"Mar 2024",29.1658
"Apr 2024",29.9373
"May 2024",30.7247
"Jun 2024",30.7247
"Jul 2024",30.7247
"Aug 2024",30.8034
"Sep 2024",30.8034
"Oct 2024",0.220484
"Nov 2024",10.6694
"Dec 2024",18.689
"Jan 2025",22.5631
"Feb 2025",27.4726
"Mar 2025",31.5986
"Apr 2025",32.0709
"May 2025",32.2401
"Jun 2025",32.2401
"Jul 2025",32.2401
"Aug 2025",32.2401
"Sep 2025",33.1064
"Oct 2025",1.14565
"Nov 2025",5.37787
"Dec 2025",13.5158
"Jan 2026",16.7756
"Feb 2026",21.3739
"Mar 2026",21.4605
"Apr 2026",24.7361
"May 2026",25.4644
"Jun 2026",25.4644
"Jul 2026",25.4644
"Aug 2026",25.4644
"Sep 2026",25.997
Sum,803.732
