Groundwater Storage
Selected Aquifers (38/39)
Acre-foot
Scenario,Baseline
"Oct 2023",164726
"Nov 2023",162269
"Dec 2023",176202
"Jan 2024",232805
"Feb 2024",308030
"Mar 2024",309718
"Apr 2024",313906
"May 2024",306643
"Jun 2024",271207
"Jul 2024",229811
"Aug 2024",192671
"Sep 2024",186967
"Oct 2024",162088
"Nov 2024",180264
"Dec 2024",238099
"Jan 2025",272917
"Feb 2025",293438
"Mar 2025",295035
"Apr 2025",296252
"May 2025",283214
"Jun 2025",267715
"Jul 2025",241815
"Aug 2025",206146
"Sep 2025",194910
"Oct 2025",188584
"Nov 2025",198282
"Dec 2025",234468
"Jan 2026",282215
"Feb 2026",293876
"Mar 2026",291097
"Apr 2026",300811
"May 2026",304311
"Jun 2026",273045
"Jul 2026",235475
"Aug 2026",198595
"Sep 2026",189863
