Groundwater Storage
Selected Aquifers (38/39)
Acre-foot
Scenario,Baseline
"Oct 1970",-19046.8
"Nov 1970",34044
"Dec 1970",140478
"Jan 1971",154926
"Feb 1971",150028
"Mar 1971",147202
"Apr 1971",145944
"May 1971",106097
"Jun 1971",84338.6
"Jul 1971",22542.6
"Aug 1971",-38389.3
"Sep 1971",-47528.4
"Oct 1971",-51144.2
"Nov 1971",-59295.2
"Dec 1971",-24798.2
"Jan 1972",-20047.5
"Feb 1972",-13494.8
"Mar 1972",-14290.7
"Apr 1972",-50807.4
"May 1972",-67002
"Jun 1972",-106608
"Jul 1972",-186492
"Aug 1972",-240832
"Sep 1972",-252630
"Oct 1972",-249280
"Nov 1972",-187934
"Dec 1972",-161065
"Jan 1973",18064.5
"Feb 1973",131390
"Mar 1973",138865
"Apr 1973",130606
"May 1973",75946
"Jun 1973",46776.4
"Jul 1973",-37324
"Aug 1973",-85099.9
"Sep 1973",-95419.2
"Oct 1973",-101440
"Nov 1973",-40740.2
"Dec 1973",26384.1
"Jan 1974",96730.6
"Feb 1974",91801.8
"Mar 1974",98057.6
"Apr 1974",99245.4
"May 1974",88010.6
"Jun 1974",49946.3
"Jul 1974",-12233.5
"Aug 1974",-65847.9
"Sep 1974",-77155.4
"Oct 1974",-92784.4
"Nov 1974",-107561
"Dec 1974",-101752
"Jan 1975",-101784
"Feb 1975",-14973.3
"Mar 1975",14896.7
"Apr 1975",17921
"May 1975",10687.5
"Jun 1975",-24432.2
"Jul 1975",-84846.1
"Aug 1975",-145579
"Sep 1975",-141546
"Oct 1975",-150168
"Nov 1975",-163037
"Dec 1975",-169887
"Jan 1976",-170379
"Feb 1976",-169809
"Mar 1976",-174873
"Apr 1976",-205888
"May 1976",-229225
"Jun 1976",-270269
"Jul 1976",-341582
"Aug 1976",-380347
"Sep 1976",-398391
"Oct 1976",-402068
"Nov 1976",-401321
"Dec 1976",-406624
"Jan 1977",-394250
"Feb 1977",-390860
"Mar 1977",-385525
"Apr 1977",-423361
"May 1977",-434551
"Jun 1977",-468446
"Jul 1977",-520765
"Aug 1977",-569019
"Sep 1977",-575449
"Oct 1977",-574156
"Nov 1977",-567648
"Dec 1977",-510273
"Jan 1978",-305832
"Feb 1978",-226363
"Mar 1978",-189278
"Apr 1978",-183845
"May 1978",-182350
"Jun 1978",-181956
"Jul 1978",-221417
"Aug 1978",-241665
"Sep 1978",-239036
"Oct 1978",-246023
"Nov 1978",-247131
"Dec 1978",-251368
"Jan 1979",-195935
"Feb 1979",-134570
"Mar 1979",-134481
"Apr 1979",-135852
"May 1979",-135462
"Jun 1979",-144670
"Jul 1979",-164897
"Aug 1979",-191352
"Sep 1979",-189760
"Oct 1979",-191971
"Nov 1979",-195478
"Dec 1979",-167628
"Jan 1980",-67493.1
"Feb 1980",42815.3
"Mar 1980",66072
"Apr 1980",59701.7
"May 1980",29663.4
"Jun 1980",29518.5
"Jul 1980",-3765.57
"Aug 1980",-19893.8
"Sep 1980",-20471.1
"Oct 1980",-38721.4
"Nov 1980",-50927.1
"Dec 1980",-52810.7
"Jan 1981",-7826.45
"Feb 1981",-11432.1
"Mar 1981",-9998.89
"Apr 1981",-13379.6
"May 1981",-50899.5
"Jun 1981",-58524.6
"Jul 1981",-106183
"Aug 1981",-131065
"Sep 1981",-131265
"Oct 1981",-134736
"Nov 1981",-63288.6
"Dec 1981",-6498.31
"Jan 1982",97975.1
"Feb 1982",121280
"Mar 1982",160991
"Apr 1982",245251
"May 1982",232694
"Jun 1982",217947
"Jul 1982",179823
"Aug 1982",144947
"Sep 1982",143579
"Oct 1982",133288
"Nov 1982",203028
"Dec 1982",227650
"Jan 1983",335371
"Feb 1983",430855
"Mar 1983",552474
"Apr 1983",543062
"May 1983",521866
"Jun 1983",499406
"Jul 1983",462976
"Aug 1983",438186
"Sep 1983",423154
"Oct 1983",397484
"Nov 1983",458240
"Dec 1983",576082
"Jan 1984",552662
"Feb 1984",542760
"Mar 1984",526100
"Apr 1984",498839
"May 1984",484596
"Jun 1984",469892
"Jul 1984",422985
"Aug 1984",389510
"Sep 1984",378991
"Oct 1984",365170
"Nov 1984",415449
"Dec 1984",414155
"Jan 1985",409368
"Feb 1985",415936
"Mar 1985",409369
"Apr 1985",402966
"May 1985",381994
"Jun 1985",369924
"Jul 1985",326453
"Aug 1985",295240
"Sep 1985",290646
"Oct 1985",269704
"Nov 1985",283395
"Dec 1985",320528
"Jan 1986",368047
"Feb 1986",548990
"Mar 1986",601960
"Apr 1986",583748
"May 1986",552908
"Jun 1986",539199
"Jul 1986",503649
"Aug 1986",474745
"Sep 1986",463258
"Oct 1986",443785
"Nov 1986",421184
"Dec 1986",408741
"Jan 1987",404356
"Feb 1987",416696
"Mar 1987",414596
"Apr 1987",398113
"May 1987",396717
"Jun 1987",385427
"Jul 1987",358095
"Aug 1987",324115
"Sep 1987",321053
"Oct 1987",308044
"Nov 1987",298510
"Dec 1987",340849
"Jan 1988",417127
"Feb 1988",405097
"Mar 1988",387530
"Apr 1988",388638
"May 1988",381854
"Jun 1988",377054
"Jul 1988",337638
"Aug 1988",302296
"Sep 1988",300658
"Oct 1988",286578
"Nov 1988",277847
"Dec 1988",286413
"Jan 1989",283048
"Feb 1989",276886
"Mar 1989",296339
"Apr 1989",289158
"May 1989",253344
"Jun 1989",242376
"Jul 1989",177967
"Aug 1989",146116
"Sep 1989",146418
"Oct 1989",147924
"Nov 1989",145418
"Dec 1989",136002
"Jan 1990",164820
"Feb 1990",182860
"Mar 1990",178403
"Apr 1990",151185
"May 1990",150853
"Jun 1990",128090
"Jul 1990",71043.7
"Aug 1990",27939.2
"Sep 1990",20167.2
"Oct 1990",7330.48
"Nov 1990",2587.53
"Dec 1990",199.094
"Jan 1991",-2515.89
"Feb 1991",-603.566
"Mar 1991",88303.8
"Apr 1991",86729.8
"May 1991",73004.6
"Jun 1991",31992.3
"Jul 1991",-34605
"Aug 1991",-85696.9
"Sep 1991",-96440.1
"Oct 1991",-99113.7
"Nov 1991",-113774
"Dec 1991",-115361
"Jan 1992",-98968.2
"Feb 1992",3999.4
"Mar 1992",15765.8
"Apr 1992",14749.9
"May 1992",-8792.52
"Jun 1992",-26946.6
"Jul 1992",-69617.5
"Aug 1992",-106646
"Sep 1992",-114346
"Oct 1992",-119861
"Nov 1992",-126158
"Dec 1992",-45116.5
"Jan 1993",191369
"Feb 1993",288723
"Mar 1993",275423
"Apr 1993",265990
"May 1993",250955
"Jun 1993",232993
"Jul 1993",200009
"Aug 1993",169139
"Sep 1993",160268
"Oct 1993",146788
"Nov 1993",141764
"Dec 1993",152060
"Jan 1994",163805
"Feb 1994",184011
"Mar 1994",178675
"Apr 1994",167341
"May 1994",163455
"Jun 1994",144167
"Jul 1994",91533
"Aug 1994",58754.5
"Sep 1994",56080.6
"Oct 1994",43719.5
"Nov 1994",54257.4
"Dec 1994",93495.2
"Jan 1995",414401
"Feb 1995",389881
"Mar 1995",510340
"Apr 1995",490227
"May 1995",474196
"Jun 1995",460068
"Jul 1995",420691
"Aug 1995",388130
"Sep 1995",379550
"Oct 1995",364074
"Nov 1995",347428
"Dec 1995",387499
"Jan 1996",464578
"Feb 1996",571211
"Mar 1996",572770
"Apr 1996",566617
"May 1996",567809
"Jun 1996",542705
"Jul 1996",502801
"Aug 1996",460941
"Sep 1996",451056
"Oct 1996",431058
"Nov 1996",422367
"Dec 1996",523652
"Jan 1997",693683
"Feb 1997",671750
"Mar 1997",654651
"Apr 1997",634068
"May 1997",626469
"Jun 1997",605048
"Jul 1997",556167
"Aug 1997",517829
"Sep 1997",510800
"Oct 1997",494232
"Nov 1997",516829
"Dec 1997",540887
"Jan 1998",660400
"Feb 1998",936321
"Mar 1998",898864
"Apr 1998",876852
"May 1998",857367
"Jun 1998",839236
"Jul 1998",790396
"Aug 1998",746476
"Sep 1998",733414
"Oct 1998",702179
"Nov 1998",691437
"Dec 1998",685656
"Jan 1999",677744
"Feb 1999",720746
"Mar 1999",711325
"Apr 1999",704859
"May 1999",692802
"Jun 1999",661036
"Jul 1999",616642
"Aug 1999",578653
"Sep 1999",574747
"Oct 1999",549752
"Nov 1999",535048
"Dec 1999",518010
"Jan 2000",544547
"Feb 2000",653746
"Mar 2000",675194
"Apr 2000",669194
"May 2000",656619
"Jun 2000",632754
"Jul 2000",583460
"Aug 2000",539429
"Sep 2000",539233
"Oct 2000",520647
"Nov 2000",506156
"Dec 2000",494545
"Jan 2001",509237
"Feb 2001",582048
"Mar 2001",597098
"Apr 2001",594982
"May 2001",575772
"Jun 2001",554616
"Jul 2001",510588
"Aug 2001",471101
"Sep 2001",470366
"Oct 2001",448911
"Nov 2001",452004
"Dec 2001",574340
"Jan 2002",613994
"Feb 2002",600739
"Mar 2002",589575
"Apr 2002",577241
"May 2002",577553
"Jun 2002",542900
"Jul 2002",497644
"Aug 2002",466845
"Sep 2002",464770
"Oct 2002",443988
"Nov 2002",439142
"Dec 2002",578452
"Jan 2003",606370
"Feb 2003",599405
"Mar 2003",593707
"Apr 2003",591810
"May 2003",593570
"Jun 2003",572232
"Jul 2003",501580
"Aug 2003",474018
"Sep 2003",472585
"Oct 2003",446695
"Nov 2003",436017
"Dec 2003",495587
"Jan 2004",524466
"Feb 2004",607764
"Mar 2004",603785
"Apr 2004",589398
"May 2004",582168
"Jun 2004",547437
"Jul 2004",497502
"Aug 2004",445778
"Sep 2004",442977
"Oct 2004",433984
"Nov 2004",435255
"Dec 2004",493960
"Jan 2005",596891
"Feb 2005",627482
"Mar 2005",624669
"Apr 2005",610904
"May 2005",598837
"Jun 2005",582736
"Jul 2005",517902
"Aug 2005",466361
"Sep 2005",459949
"Oct 2005",430394
"Nov 2005",420526
"Dec 2005",531040
"Jan 2006",582096
"Feb 2006",582399
"Mar 2006",612850
"Apr 2006",677881
"May 2006",673639
"Jun 2006",631596
"Jul 2006",583021
"Aug 2006",536543
"Sep 2006",529745
"Oct 2006",513466
"Nov 2006",499014
"Dec 2006",493639
"Jan 2007",483253
"Feb 2007",492259
"Mar 2007",480723
"Apr 2007",483650
"May 2007",473232
"Jun 2007",459154
"Jul 2007",402402
"Aug 2007",365120
"Sep 2007",365465
"Oct 2007",357138
"Nov 2007",347589
"Dec 2007",348846
"Jan 2008",472077
"Feb 2008",494695
"Mar 2008",485109
"Apr 2008",470341
"May 2008",455558
"Jun 2008",434006
"Jul 2008",386440
