from 03_23_2026 model,
feet,
,Avg Depth to Water (ft)
3/1/1971,30.8
9/1/1971,37.4
3/1/1972,37.9
9/1/1972,43.5
3/1/1973,36.3
9/1/1973,46.9
3/1/1974,35.2
9/1/1974,44.8
3/1/1975,37.8
9/1/1975,46.6
3/1/1976,47.1
9/1/1976,51.2
3/1/1977,54.1
9/1/1977,58.1
3/1/1978,46.4
9/1/1978,57.8
3/1/1979,42.0
9/1/1979,48.2
3/1/1980,37.9
9/1/1980,43.7
3/1/1981,39.6
9/1/1981,43.5
3/1/1982,30.9
9/1/1982,40.1
3/1/1983,22.3
9/1/1983,32.0
3/1/1984,25.5
9/1/1984,29.1
3/1/1985,28.1
9/1/1985,31.1
3/1/1986,23.8
9/1/1986,32.0
3/1/1987,28.3
9/1/1987,30.7
3/1/1988,28.0
9/1/1988,32.9
3/1/1989,31.3
9/1/1989,34.9
3/1/1990,35.7
9/1/1990,39.7
3/1/1991,37.3
9/1/1991,45.7
3/1/1992,42.5
9/1/1992,48.6
3/1/1993,34.8
9/1/1993,46.1
3/1/1994,36.4
9/1/1994,41.2
3/1/1995,26.5
9/1/1995,38.6
3/1/1996,23.9
9/1/1996,32.4
3/1/1997,23.6
9/1/1997,31.2
3/1/1998,15.7
9/1/1998,26.6
3/1/1999,21.3
9/1/1999,25.3
3/1/2000,23.0
9/1/2000,29.8
3/1/2001,25.6
9/1/2001,32.1
3/1/2002,25.9
9/1/2002,32.4
3/1/2003,24.4
9/1/2003,32.5
3/1/2004,25.6
9/1/2004,32.9
3/1/2005,24.4
9/1/2005,34.2
3/1/2006,22.4
9/1/2006,30.9
3/1/2007,29.3
9/1/2007,34.7
3/1/2008,30.2
9/1/2008,37.2
3/1/2009,34.6
9/1/2009,46.8
3/1/2010,36.3
9/1/2010,43.3
3/1/2011,32.5
9/1/2011,36.3
3/1/2012,34.7
9/1/2012,40.7
3/1/2013,36.2
9/1/2013,42.0
3/1/2014,38.8
9/1/2014,49.5
3/1/2015,42.5
9/1/2015,48.8
3/1/2016,40.7
9/1/2016,44.5
3/1/2017,30.0
9/1/2017,37.2
3/1/2018,34.4
9/1/2018,40.8
3/1/2019,30.5
9/1/2019,37.3
3/1/2020,33.0
9/1/2020,39.3
3/1/2021,38.6
9/1/2021,48.6
3/1/2022,44.6
9/1/2022,54.2
3/1/2023,39.4
9/1/2023,44.6
3/1/2024,37.4
9/1/2024,44.9
3/1/2025,38.3
9/1/2025,43.2
