observed data,
feet,
,Avg Depth to Water (ft)
Oct-71,39.06
Nov-71,92.75
Dec-71,90.00
Jan-72,87.95
Feb-72,40.78
Mar-72,55.75
Apr-72,54.00
May-72,96.75
Jun-72,101.15
Jul-72,58.60
Aug-72,103.60
Sep-72,51.25
Oct-72,55.03
Nov-72,47.07
Dec-72,92.90
Jan-73,85.90
Feb-73,71.94
Mar-73,57.47
Apr-73,36.11
May-73,87.65
Jun-73,88.40
Jul-73,90.35
Aug-73,90.05
Sep-73,89.50
Oct-73,55.47
Nov-73,48.08
Dec-73,83.50
Jan-74,80.50
Feb-74,34.20
Mar-74,47.62
Apr-74,54.97
May-74,72.27
Jun-74,39.70
Jul-74,85.45
Aug-74,85.65
Sep-74,88.20
Oct-74,61.66
Nov-74,46.43
Dec-74,83.95
Jan-75,83.75
Feb-75,38.20
Mar-75,37.16
Apr-75,46.45
May-75,86.35
Jun-75,88.25
Jul-75,50.00
Aug-75,95.05
Sep-75,95.35
Oct-75,58.91
Nov-75,40.45
Dec-75,85.65
Jan-76,85.45
Feb-76,45.01
Mar-76,52.17
Apr-76,52.00
May-76,98.50
Jun-76,57.50
Jul-76,95.05
Aug-76,56.98
Sep-76,81.23
Oct-76,57.11
Nov-76,55.87
Dec-76,94.75
Jan-77,96.60
Feb-77,60.13
Mar-77,65.87
Apr-77,65.99
May-77,84.84
Jun-77,61.96
Jul-77,87.84
Aug-77,73.40
Sep-77,72.80
Oct-77,79.13
Nov-77,70.56
Dec-77,71.31
Jan-78,58.05
Feb-78,59.76
Mar-78,48.26
Apr-78,50.26
May-78,62.95
Jun-78,75.74
Jul-78,76.22
Aug-78,74.87
Sep-78,68.22
Oct-78,52.87
Nov-78,64.26
Dec-78,62.42
Jan-79,71.27
Feb-79,40.61
Mar-79,45.87
Apr-79,38.70
May-79,98.28
Jun-79,104.57
Jul-79,108.57
Aug-79,99.47
Sep-79,72.46
Oct-79,53.96
Nov-79,80.70
Dec-79,78.17
Jan-80,71.87
Feb-80,69.93
Mar-80,37.16
Apr-80,89.40
May-80,95.07
Jun-80,93.80
Jul-80,94.67
Aug-80,90.10
Sep-80,87.37
Oct-80,45.90
Nov-80,60.08
Dec-80,86.25
Jan-81,68.30
Feb-81,64.87
Mar-81,37.91
Apr-81,68.23
May-81,96.30
Jun-81,101.17
Jul-81,101.57
Sep-81,84.03
Oct-81,48.68
Nov-81,41.51
Dec-81,72.63
Jan-82,67.63
Feb-82,65.00
Mar-82,32.94
Apr-82,31.54
May-82,82.13
Jun-82,96.17
Jul-82,95.83
Aug-82,91.53
Sep-82,73.50
Oct-82,40.07
Nov-82,37.30
Dec-82,70.98
Jan-83,62.13
Feb-83,72.05
Mar-83,30.46
Apr-83,25.12
May-83,58.63
Jun-83,34.35
Jul-83,83.96
Aug-83,39.30
Sep-83,70.95
Oct-83,35.05
Nov-83,47.13
Dec-83,38.16
Jan-84,41.25
Feb-84,48.07
Mar-84,26.94
Apr-84,46.72
May-84,78.17
Jun-84,88.25
Jul-84,88.63
Aug-84,77.70
Sep-84,70.30
Oct-84,34.22
Nov-84,57.13
Dec-84,55.50
Jan-85,48.23
Feb-85,48.80
Mar-85,32.17
Apr-85,43.87
May-85,80.53
Jun-85,73.20
Jul-85,89.40
Aug-85,83.97
Sep-85,69.65
Oct-85,38.19
Nov-85,52.40
Dec-85,58.67
Jan-86,56.27
Feb-86,52.93
Mar-86,39.41
Apr-86,25.45
May-86,68.10
Jun-86,81.33
Jul-86,81.33
Aug-86,77.65
Sep-86,61.53
Oct-86,32.83
Nov-86,54.67
Dec-86,53.00
Jan-87,49.03
Feb-87,55.76
Mar-87,30.44
Apr-87,35.94
May-87,82.83
Jun-87,78.50
Jul-87,85.70
Aug-87,79.67
Sep-87,64.18
Oct-87,37.93
Nov-87,58.30
Dec-87,55.67
Jan-88,52.90
Feb-88,36.20
Mar-88,35.98
Apr-88,72.63
May-88,74.83
Jun-88,88.15
Jul-88,89.33
Aug-88,74.05
Sep-88,71.80
Oct-88,38.81
Nov-88,43.16
Dec-88,56.00
