Precipitation
"All Scenarios, Branch: Demand Sites and Catchments\Davis catch"
Inch
Scenario,Baseline
"Oct 2023",0.740189
"Nov 2023",0.759894
"Dec 2023",4.16522
"Jan 2024",5.29141
"Feb 2024",5.79929
"Mar 2024",2.55517
"Apr 2024",0.665272
"May 2024",0.661354
"Jun 2024",0
"Jul 2024",0
"Aug 2024",0
"Sep 2024",0
"Oct 2024",0.149736
"Nov 2024",4.48412
"Dec 2024",4.36593
"Jan 2025",3.40543
"Feb 2025",3.18506
"Mar 2025",1.65766
"Apr 2025",0.0709567
"May 2025",0.0826772
"Jun 2025",0
"Jul 2025",0
"Aug 2025",0
"Sep 2025",0.0157795
"Oct 2025",1.62595
"Nov 2025",3.53533
"Dec 2025",3.8505
"Jan 2026",2.68906
"Feb 2026",3.03539
"Mar 2026",0.307126
"Apr 2026",2.76776
"May 2026",0.960551
"Jun 2026",0
"Jul 2026",0
"Aug 2026",0
"Sep 2026",0.374764
Sum,57.2016
