Precipitation
Branch: Demand Sites and Catchments\Middle Indian Valley
Inch
Scenario,Baseline
"Oct 2023",0.980244
"Nov 2023",1.97245
"Dec 2023",6.48033
"Jan 2024",8.00405
"Feb 2024",9.36608
"Mar 2024",5.17325
"Apr 2024",1.33856
"May 2024",0.751969
"Jun 2024",0
"Jul 2024",0
"Aug 2024",0.0432835
"Sep 2024",0
"Oct 2024",0.236276
"Nov 2024",9.89767
"Dec 2024",6.72445
"Jan 2025",4.31504
"Feb 2025",5.90954
"Mar 2025",3.60237
"Apr 2025",0.610272
"May 2025",0.220512
"Jun 2025",0
"Jul 2025",0
"Aug 2025",0.011815
"Sep 2025",0.574803
"Oct 2025",1.42521
"Nov 2025",4.25587
"Dec 2025",7.74399
"Jan 2026",3.66531
"Feb 2026",5.86214
"Mar 2026",0.240157
"Apr 2026",4.01175
"May 2026",1.17323
"Jun 2026",0
"Jul 2026",0
"Aug 2026",0
"Sep 2026",0
Sum,94.5906
