Key Assumptions
"Scenario: Baseline, Branch: Key Assumptions\Forecast\Outputs\Reservoir Release\Release for Capay Dam"
 
Branch,"Release for Capay Dam (AF)"
"Oct 2023",41.57
"Nov 2023",0
"Dec 2023",60.1832
"Jan 2024",0
"Feb 2024",0
"Mar 2024",0
"Apr 2024",4800.73
"May 2024",23205.2
"Jun 2024",27365.5
"Jul 2024",37262.6
"Aug 2024",33149.3
"Sep 2024",15775.6
"Oct 2024",395.212
"Nov 2024",72.141
"Dec 2024",0
"Jan 2025",0
"Feb 2025",0
"Mar 2025",0
"Apr 2025",7404.6
"May 2025",28755.5
"Jun 2025",37121.4
"Jul 2025",39780.8
"Aug 2025",30969.1
"Sep 2025",23736.4
"Oct 2025",41.57
"Nov 2025",0
"Dec 2025",0
"Jan 2026",0
"Feb 2026",0
"Mar 2026",0
"Apr 2026",22698.3
"May 2026",35568.2
"Jun 2026",30212.5
"Jul 2026",43718.9
"Aug 2026",36864.9
"Sep 2026",15842.5
Sum,494843
