Key Assumptions
Branch: Key Assumptions\Forecast\Outputs\Reservoir Release\Rev Total Reservoir Spill
 
Scenario,Baseline
"Oct 2023",0
"Nov 2023",0
"Dec 2023",0
"Jan 2024",0
"Feb 2024",20749.9
"Mar 2024",86730.4
"Apr 2024",44305.5
"May 2024",0
"Jun 2024",0
"Jul 2024",0
"Aug 2024",0
"Sep 2024",0
"Oct 2024",0
"Nov 2024",0
"Dec 2024",286.615
"Jan 2025",26387.3
"Feb 2025",23526
"Mar 2025",63499
"Apr 2025",3373.43
"May 2025",0
"Jun 2025",0
"Jul 2025",0
"Aug 2025",0
"Sep 2025",0
"Oct 2025",0
"Nov 2025",0
"Dec 2025",0
"Jan 2026",194.885
"Feb 2026",3532.3
"Mar 2026",29670.8
"Apr 2026",10342.2
"May 2026",0
"Jun 2026",0
"Jul 2026",0
"Aug 2026",0
"Sep 2026",0
Sum,312598
