Key Assumptions,
Branch: Key Assumptions\Forecast\Outputs\Reservoir Release\Rev Total Reservoir Spill,
 ,
Scenario,Baseline
Oct-23,0
Nov-23,0
Dec-23,0
Jan-24,0
Feb-24,20749.9
Mar-24,86730.4
Apr-24,44305.5
May-24,0
Jun-24,0
Jul-24,0
Aug-24,0
Sep-24,0
Oct-24,0
Nov-24,0
Dec-24,286.615
Jan-25,26387.3
Feb-25,23526
Mar-25,63499
Apr-25,3373.43
May-25,0
Jun-25,0
Jul-25,0
Aug-25,0
Sep-25,0
Oct-25,0
Nov-25,0
Dec-25,0
Jan-26,0
Feb-26,0
Mar-26,0
Apr-26,0
May-26,0
Jun-26,0
Jul-26,0
Aug-26,0
Sep-26,0
Sum,312598
