Reservoir Storage Capacity,,
Acre-foot,,
Reservoir,Clear Lake,Indian Valley
23-Oct,469800,301000
23-Nov,469800,301000
23-Dec,469800,301000
24-Jan,469800,301000
24-Feb,469800,301000
24-Mar,469800,301000
24-Apr,469800,301000
24-May,469800,301000
24-Jun,469800,301000
24-Jul,469800,301000
24-Aug,469800,301000
24-Sep,469800,301000
24-Oct,469800,301000
24-Nov,469800,301000
24-Dec,469800,301000
25-Jan,469800,301000
25-Feb,469800,301000
25-Mar,469800,301000
25-Apr,469800,301000
25-May,469800,301000
25-Jun,469800,301000
25-Jul,469800,301000
25-Aug,469800,301000
25-Sep,469800,301000
25-Oct,469800,301000
25-Nov,469800,301000
25-Dec,469800,301000
26-Jan,469800,301000
26-Feb,469800,301000
26-Mar,469800,301000
26-Apr,469800,301000
26-May,469800,301000
26-Jun,469800,301000
26-Jul,469800,301000
26-Aug,469800,301000
26-Sep,469800,301000
