Reservoir Storage Volume and Zones,,,,,,,,,,,,,,
"Scenario: Baseline, Variable: Top of Conservation",,,,,,,,,,,,,,
Acre-foot,,,,,,,,,,,,,,
Reservoir,Clear Lake,Indian Valley,,,,,,,,,,,,
Oct-23,928862,147660,,,,,,,,,,,,
Nov-23,928282,146820,,,,,,,,,,,,
Dec-23,963060,152230,,,,,,,,,,,,
Jan-24,1077573,173950,,,,,,,,,,,,
Feb-24,1177078,225298,,,,,,,,,,,,
Mar-24,1181507,258480,,,,,,,,,,,,
Apr-24,1159073,268301,,,,,,,,,,,,
May-24,1121535,269707,,,,,,,,,,,,
Jun-24,1070753,255782,,,,,,,,,,,,
Jul-24,1013305,239852,,,,,,,,,,,,
Aug-24,966778,225978,,,,,,,,,,,,
Sep-24,930730,223700,,,,,,,,,,,,
Oct-24,916502,221524,,,,,,,,,,,,
Nov-24,976292,234488,,,,,,,,,,,,
Dec-24,1084399,263454,,,,,,,,,,,,
Jan-25,1093412,262011,,,,,,,,,,,,
Feb-25,1162581,266747,,,,,,,,,,,,
Mar-25,1170481,272593,,,,,,,,,,,,
Apr-25,1175753,277485,,,,,,,,,,,,
May-25,1149873,252116,,,,,,,,,,,,
Jun-25,1105510,228120,,,,,,,,,,,,
Jul-25,1055435,206255,,,,,,,,,,,,
Aug-25,1003260,197939,,,,,,,,,,,,
Sep-25,965125,195596,,,,,,,,,,,,
Oct-25,952402,276219,,,,,,,,,,,,
Nov-25,960189,260805,,,,,,,,,,,,
Dec-25,1049064,260805,,,,,,,,,,,,
Jan-26,1117633,260805,,,,,,,,,,,,
Feb-26,1178000,260805,,,,,,,,,,,,
Mar-26,1157757,267318,,,,,,,,,,,,
Apr-26,1156881,285120,,,,,,,,,,,,
May-26,1114600,300600,,,,,,,,,,,,
Jun-26,1066494,300600,,,,,,,,,,,,
Jul-26,1015821,300600,,,,,,,,,,,,
Aug-26,1155870,300600,,,,,,,,,,,,
Sep-26,1155870,293827,,,,,,,,,,,,
