Reservoir Storage Volume and Zones
"Scenario: Baseline, Variable: Top of Conservation"
Acre-foot
Reservoir,"Clear Lake","Indian Valley"
"Oct 2023",928862,147660
"Nov 2023",928282,146820
"Dec 2023",963060,152230
"Jan 2024",1077573,173950
"Feb 2024",1177078,225298
"Mar 2024",1181507,258480
"Apr 2024",1159073,268301
"May 2024",1121535,269707
"Jun 2024",1070753,255782
"Jul 2024",1013305,239852
"Aug 2024",966778,225978
"Sep 2024",930730,223700
"Oct 2024",916502,221524
"Nov 2024",976292,234488
"Dec 2024",1084399,263454
"Jan 2025",1093412,262011
"Feb 2025",1162581,266747
"Mar 2025",1170481,272593
"Apr 2025",1175753,277485
"May 2025",1149873,252116
"Jun 2025",1105510,228120
"Jul 2025",1055435,206255
"Aug 2025",1003260,197939
"Sep 2025",965125,195596
"Oct 2025",952402,194408
"Nov 2025",960189,195233
"Dec 2025",1049064,214146
"Jan 2026",1117633,236504
"Feb 2026",1178000,251726
"Mar 2026",1157757,257112
"Apr 2026",1155870,285120
"May 2026",1155870,300600
"Jun 2026",1155870,300600
"Jul 2026",1155870,300600
"Aug 2026",1155870,300600
"Sep 2026",1155870,293827
