Key Assumptions
"Scenario: Baseline, Branch: Key Assumptions\Forecast\Outputs\Solano Decree\Rev SeasonRemaining"
 
Branch,"Rev SeasonRemaining (AF)"
"Oct 2023",0
"Nov 2023",0
"Dec 2023",0
"Jan 2024",0
"Feb 2024",54462.8
"Mar 2024",150000
"Apr 2024",150000
"May 2024",139500
"Jun 2024",116370
"Jul 2024",93699.8
"Aug 2024",69810.1
"Sep 2024",48567.8
"Oct 2024",33763.6
"Nov 2024",0
"Dec 2024",2199.08
"Jan 2025",79629.2
"Feb 2025",88755.2
"Mar 2025",150000
"Apr 2025",150000
"May 2025",145848
"Jun 2025",141087
"Jul 2025",126208
"Aug 2025",106097
"Sep 2025",81533.2
"Oct 2025",59187.3
"Nov 2025",0
"Dec 2025",0
"Jan 2026",38976.5
"Feb 2026",87938.8
"Mar 2026",150000
"Apr 2026",150000
"May 2026",125679
"Jun 2026",97778.7
"Jul 2026",73766.9
"Aug 2026",44306.1
"Sep 2026",23547.3
Sum,2778712
