Reservoir Storage Gauge Comparison
"Scenario: Baseline, Reservoir: Clear Lake"
Acre-foot
Variable,Modeled,Observed
"Oct 2023",919945,928862
"Nov 2023",922155,928282
"Dec 2023",959208,963060
"Jan 2024",1053651,1077573
"Feb 2024",1177078,1177078
"Mar 2024",1181507,1181507
"Apr 2024",1159073,1159073
"May 2024",1121535,1121535
"Jun 2024",1070753,1070753
"Jul 2024",1013305,1013305
"Aug 2024",966778,966778
"Sep 2024",930730,930730
"Oct 2024",916502,916502
"Nov 2024",976292,976292
"Dec 2024",1084399,1084399
"Jan 2025",1093412,1093412
"Feb 2025",1162581,1162581
"Mar 2025",1170481,1170481
"Apr 2025",1175753,1175753
"May 2025",1149873,1149873
"Jun 2025",1105510,1105510
"Jul 2025",1055435,1055435
"Aug 2025",1003260,1003260
"Sep 2025",965125,965125
"Oct 2025",952402,952402
"Nov 2025",960189,960189
"Dec 2025",1030601,1049064
"Jan 2026",1092598,1117633
"Feb 2026",1167292,1178000
"Mar 2026",1157757,1157757
"Apr 2026",1134181,842000
"May 2026",1083414,842000
"Jun 2026",1032239,842000
"Jul 2026",970731,842000
"Aug 2026",920045,842000
"Sep 2026",887843,842000
