Groundwater Storage
Selected Aquifers (38/39)
Acre-foot
Scenario,Baseline
"Oct 2023",164915
"Nov 2023",163758
"Dec 2023",182810
"Jan 2024",246028
"Feb 2024",339928
"Mar 2024",344949
"Apr 2024",348284
"May 2024",343640
"Jun 2024",302687
"Jul 2024",259691
"Aug 2024",229317
"Sep 2024",214786
"Oct 2024",200859
"Nov 2024",223046
"Dec 2024",292416
"Jan 2025",331155
"Feb 2025",353520
"Mar 2025",354899
"Apr 2025",354406
"May 2025",342372
"Jun 2025",324773
"Jul 2025",296433
"Aug 2025",275520
"Sep 2025",259197
"Oct 2025",250693
"Nov 2025",260928
"Dec 2025",312880
"Jan 2026",361538
"Feb 2026",375984
"Mar 2026",371548
"Apr 2026",377706
"May 2026",367133
"Jun 2026",345375
"Jul 2026",308167
"Aug 2026",271967
"Sep 2026",267442
