****other notes****,
feet,
,Avg Depth to Water (ft)
Oct-17,37.37
Nov-17,37.23
Dec-17,37.22
Jan-18,35.67
Feb-18,34.89
Mar-18,34.78
Apr-18,34.36
May-18,34.15
Jun-18,36.52
Jul-18,46
Aug-18,43.89
Sep-18,41.31
Oct-18,41.96
Nov-18,39.03
Dec-18,37.52
Jan-19,35.12
Feb-19,31.38
Mar-19,29.84
Apr-19,29.9
May-19,31.62
Jun-19,37.2
Jul-19,38.28
Aug-19,42.74
Sep-19,38.38
Oct-19,36.93
Nov-19,36.68
Dec-19,33.87
Jan-20,33.29
Feb-20,33.09
Mar-20,32.85
Apr-20,32.45
May-20,33.79
Jun-20,35.45
Jul-20,41.92
Aug-20,41.08
Sep-20,40.64
Oct-20,39.63
Nov-20,37.66
Dec-20,37.03
Jan-21,36.4
Feb-21,36.05
Mar-21,36.92
Apr-21,37.02
May-21,41.98
Jun-21,43.9
Jul-21,51.93
Aug-21,55.24
Sep-21,51.92
Oct-21,47.98
Nov-21,46.04
Dec-21,43.07
Jan-22,42.25
Feb-22,41.79
Mar-22,41.43
Apr-22,42.44
May-22,49.98
Jun-22,52.82
Jul-22,56
Aug-22,59.41
Sep-22,55.17
Oct-22,54.33
Nov-22,53.03
Dec-22,49.37
Jan-23,43.07
Feb-23,41.99
Mar-23,38.97
Apr-23,38.87
May-23,40.37
Jun-23,43.4
Jul-23,48.24
Aug-23,49.78
Sep-23,46.19
Oct-23,44.36
Nov-23,43.33
Dec-23,42.04
Jan-24,40.3
Feb-24,37.44
Mar-24,36.22
Apr-24,35.86
May-24,40.08
Jun-24,41.57
Jul-24,47.74
Aug-24,49.66
Sep-24,46.47
Oct-24,44.93
Nov-24,43.32
Dec-24,40.27
Jan-25,39.7
Feb-25,37.13
Mar-25,36.72
Apr-25,39.69
May-25,38.45
Jun-25,40.7
Jul-25,44.53
Aug-25,47.93
Sep-25,43.16
,
,
,
,
,
,
,
,
,
,
,
,
