Precipitation
Branch: Demand Sites and Catchments\Middle Indian Valley
Inch
Scenario,Baseline
"Oct 2023",0.980315
"Nov 2023",1.97244
"Dec 2023",6.48031
"Jan 2024",8.00394
"Feb 2024",9.36614
"Mar 2024",5.17323
"Apr 2024",1.33858
"May 2024",0.751969
"Jun 2024",0
"Jul 2024",0
"Aug 2024",0.0433071
"Sep 2024",0
"Oct 2024",0.23622
"Nov 2024",9.89764
"Dec 2024",6.72441
"Jan 2025",4.31496
"Feb 2025",5.90945
"Mar 2025",3.60236
"Apr 2025",0.610236
"May 2025",0.220472
"Jun 2025",0
"Jul 2025",0
"Aug 2025",0.011811
"Sep 2025",0.574803
"Oct 2025",1.4252
"Nov 2025",4.25591
"Dec 2025",7.74409
"Jan 2026",3.70866
"Feb 2026",6.40945
"Mar 2026",0
"Apr 2026",1.84528
"May 2026",1.59288
"Jun 2026",0
"Jul 2026",0
"Aug 2026",0
"Sep 2026",0
Sum,93.1941
