Reservoir Storage Gauge Comparison
"Scenario: Baseline, Reservoir: Indian Valley"
Acre-foot
Variable,Modeled,Observed
"Oct 2023",147498,147660
"Nov 2023",146820,146820
"Dec 2023",152230,152230
"Jan 2024",173950,173950
"Feb 2024",215227,225298
"Mar 2024",246280,258480
"Apr 2024",259045,268301
"May 2024",261805,269707
"Jun 2024",255782,255782
"Jul 2024",239852,239852
"Aug 2024",225978,225978
"Sep 2024",223700,223700
"Oct 2024",221524,221524
"Nov 2024",232143,234488
"Dec 2024",261083,263454
"Jan 2025",262011,262011
"Feb 2025",266747,266747
"Mar 2025",272593,272593
"Apr 2025",277485,277485
"May 2025",252116,252116
"Jun 2025",228120,228120
"Jul 2025",206255,206255
"Aug 2025",197939,197939
"Sep 2025",195596,195596
"Oct 2025",194408,194408
"Nov 2025",195233,195233
"Dec 2025",213182,214146
"Jan 2026",234352,236504
"Feb 2026",251726,251726
"Mar 2026",257112,257112
"Apr 2026",260714,0
"May 2026",261462,0
"Jun 2026",253977,0
"Jul 2026",237354,0
"Aug 2026",219077,0
"Sep 2026",217139,0
